Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,2161.048,8.308,17,16.8352,242,16.2784,17.4769,17.7515
A1,1363.112,13.012,16,15.8203,190,19.5175,17.7426,18.283
A1,1453.954,177.872,18,18.0653,369,16.1956,15.4952,15.0066
A1,2082.652,28.191,19,19.1086,185,18.2177,17.123,17.4348
A1,1982.885,-56.133,18,18.1617,358,19.345,13.6258,13.567
A1,771.663,87.582,18,18.0752,259,14.6745,9.61176,9.42241
A1,917.377,7.349,17,16.6888,256,17.7056,14.4495,12.8218
A1,1035.713,19.508,20,20.7363,258,17.368,12.8267,12.8915
A1,1602.968,19.098,18,17.8308,360,22.6096,19.732,19.6701
A1,1232.077,26.354,14,14.5754,179,20.3086,18.1387,18.6469
A1,789.168,-0.938,16,16.3482,323,15.1561,12.3937,12.4799
A1,1153.881,-30.547,19,19.3573,228,15.3861,13.3173,13.3165
A1,1146.447,-7.080,18,17.7749,358,17.2879,13.3313,13.3336
A1,2344.265,-41.194,21,21.2513,344,19.1561,13.5582,13.6122
A1,650.299,-26.584,18,17.2892,177,18.7758,17.8318,17.5083
A1,914.859,144.736,17,16.9368,316,16.4065,14.4624,14.5835
A1,656.472,-38.066,19,18.5522,221,15.239,15.5836,15.761
A1,677.046,-50.645,17,17.0026,239,16.4536,13.2173,13.3771
A1,922.761,282.751,15,15.8817,358,21.421,17.1538,17.3883
A1,616.589,-28.476,20,19.4335,188,15.1703,14.1296,12.9029
A1,902.023,28.010,20,19.9812,308,15.1935,13.8727,14.2529
A1,554.204,-32.276,17,16.7705,319,19.8275,19.0482,17.9961
A1,3654.927,52.704,22,21.6629,261,18.4969,17.255,17.5899
A1,1193.621,20.776,17,16.8213,308,18.5327,16.6835,16.4829
A1,738.103,-41.433,17,16.6039,243,16.7291,17.0298,17.6683
A1,1305.167,61.034,19,18.5245,312,20.5717,18.7458,18.9618
A1,2123.700,-40.923,20,19.7979,383,16.6777,16.3658,15.5743
A1,695.872,94.649,16,16.1749,219,14.3964,12.91,12.7858
A1,1028.802,6.993,16,16.2697,357,15.8192,13.5044,13.3412
A1,612.892,-0.117,16,16.7875,188,14.0041,7.88598,7.4342
A1,1097.228,-62.975,14,14.1991,300,19.4767,17.0943,15.6414
A1,6420.998,18.118,23,23.6712,268,16.7988,13.403,13.049
A1,654.399,472.605,19,18.5554,252,13.4811,12.2979,11.8472
A1,940.116,-34.855,17,16.4326,234,19.4603,18.0295,18.6057
A1,1332.391,-73.146,20,20.1884,285,12.9523,8.06963,8.1919
A1,866.682,-51.263,17,17.2268,331,12.154,11.4404,11.6771
A1,881.423,-63.813,17,16.9867,319,12.5966,7.87384,7.31501
A1,867.318,22.567,17,16.6859,277,15.6115,14.8529,15.0233
A1,803.407,228.027,16,16.1416,212,14.4305,13.1212,13.1231
A1,921.846,-16.626,16,15.3249,351,14.5162,10.0676,10.0503
A1,1683.394,-31.550,18,17.4833,284,18.9682,12.7332,12.2162
A1,832.737,-70.601,14,13.738,216,14.8026,9.73771,9.41478
A1,814.851,4.199,18,18.4067,231,16.3087,14.8178,14.8182
A1,1338.412,55.731,21,21.0802,284,17.8273,15.5853,15.7995
A1,535.158,7.371,18,17.2604,161,21.391,18.4491,18.9379
A1,4527.820,361.770,21,20.2727,257,16.5445,15.4462,15.1532
A1,773.531,28.700,17,16.649,246,13.7104,9.9793,9.93326
A1,443.557,-94.999,19,18.852,252,11.943,6.63753,6.33066
A1,757.713,-32.788,19,19.7546,330,17.7743,16.0039,16.2155
A1,3325.952,11.733,19,19.4675,229,14.1917,11.7168,11.6214
A1,815.938,45.366,15,15.4596,285,20.2109,15.9747,16.4352
A1,919.198,-92.916,16,16.3619,332,12.4869,8.281,8.42727
A1,1847.268,-1.349,20,20.1052,255,13.6902,14.636,13.6644
A1,1361.432,-0.372,17,17.4282,191,11.225,8.64812,8.94067
A1,642.092,516.504,19,18.7267,299,14.1465,17.848,18.3523
A1,1550.279,-60.236,18,17.9666,259,14.6866,8.42772,7.47747
A1,822.924,61.589,17,17.4782,206,11.1822,8.54126,8.18307
A1,1219.248,-49.938,17,16.3039,184,9.84502,9.6324,9.17838
A1,1098.743,-24.294,18,17.6453,234,11.6592,9.594,9.26608
A1,768.711,-21.273,17,17.6383,188,12.8899,10.1805,10.117
A1,1207.456,-9.345,17,16.906,211,16.7658,15.3032,15.5267
A1,1498.302,-32.967,17,16.7804,300,20.8375,18.5086,17.9956
A1,1352.285,572.158,15,14.2599,369,18.6891,16.1629,15.6932
A1,1071.404,217.782,16,16.2826,257,16.5478,14.6314,14.3295
A1,1266.047,18.061,19,19.0846,353,13.1076,13.5072,13.5857
A1,872.397,616.063,18,18.6791,234,12.4327,12.7865,12.951
A1,688.133,-10.049,19,18.9903,327,19.8319,17.1491,16.8007
A1,837.758,-23.130,18,18.2498,270,17.5965,17.7752,17.3965
A1,720.006,-62.100,18,18.3745,312,15.1636,10.517,10.7664
A1,1907.857,-53.390,16,16.0947,294,20.1213,19.1015,19.7263
A1,1175.092,140.865,20,19.984,227,15.3146,14.7141,15.5711
