Worker size,Energy (FA),Energy (MZ),Time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
B2,-62.626,9.854,2,29,12.871,12.908,12.831
B2,-111.291,-10.668,2,69,5.60686,5.44097,3.88091
B2,-128.116,-21.837,2,18,4.3485,3.91965,3.14093
B2,-85.843,-1.706,2,45,11.652,11.2656,10.7884
B2,-70.317,-1.821,1,41,11.0358,11.9535,11.2912
B2,-35.225,6.094,2,39,11.4165,11.0564,10.1367
B2,-48.328,-2.363,2,102,11.6178,11.3052,10.7263
B2,-45.422,-8.686,2,47,9.60644,8.88314,7.26848
B2,-73.795,-20.185,1,51,8.29024,7.10769,5.94268
B2,-15.971,-0.436,2,33,13.0648,13.6159,12.7274
B2,-76.926,-12.718,2,23,7.39187,7.02501,5.09295
B2,-49.420,-8.048,2,58,12.563,13.2219,13.254
B2,-71.707,-33.121,1,41,7.6791,6.63524,4.6587
B2,-41.004,-4.816,1,70,8.85857,9.23082,8.25821
B2,-109.853,-26.135,2,19,5.16127,5.50246,4.0873
B2,-87.573,-7.458,1,38,6.30972,6.01928,4.13549
B2,-81.853,-12.228,2,68,11.3987,12.2207,11.5331
B2,-23.381,63.101,1,59,10.5065,10.4205,10.2351
B2,-90.692,-15.278,2,31,7.65437,8.01268,6.36361
B2,-64.397,3.154,2,40,10.5169,12.1397,11.6104
B2,-53.649,-19.070,1,38,9.02574,7.77837,6.24161
B2,-56.149,-30.520,1,44,9.02193,7.95523,6.32132
B2,28.600,7.019,1,19,11.6314,12.0105,11.1489
B2,-50.568,-7.486,2,40,10.6994,10.3592,9.83127
B2,-61.718,-7.978,1,20,4.78353,4.97618,3.87349
B2,-92.871,-17.772,2,33,5.84305,4.96718,4.24316
B2,-109.708,-33.951,2,19,5.15412,4.56272,3.95859
B2,-91.283,-11.541,1,31,6.43609,6.34968,4.6957
B2,-71.505,4.052,1,34,11.9816,11.5305,10.9953
B2,-96.391,-15.255,2,36,7.53221,7.15286,5.82569
B2,-46.364,8.435,2,50,9.8576,10.5229,9.87082
B2,-108.463,-30.012,2,33,6.4943,6.20431,5.22851
B2,-37.554,-14.915,2,39,5.44249,4.57323,3.95853
B2,-44.956,-18.220,2,37,6.47193,5.52008,4.11354
B2,-46.966,4.081,1,64,10.6408,10.3454,9.32428
B2,-76.210,-16.659,1,38,7.49614,6.63516,4.87976
B2,-77.924,8.016,2,48,8.9377,7.2984,6.38588
B2,-89.167,-18.204,2,91,6.34622,6.78225,4.25993
B2,-60.051,5.009,2,41,11.6579,11.6931,11.02
B2,-101.128,-35.227,1,43,4.92334,4.03183,3.42481
B2,16.117,-21.192,1,80,8.33169,8.58778,6.36041
B2,-118.376,-24.002,2,34,4.60837,4.32448,3.52024
B2,22.774,-3.225,2,28,11.7503,10.4655,10.1891
B2,-59.470,6.778,2,13,7.51969,6.44667,5.69666
B2,-48.319,0.220,1,82,9.26448,8.8142,8.62695
B2,-15.255,-21.132,2,52,9.91427,6.83632,4.9533
B2,-103.506,-38.184,2,47,6.10101,6.57924,4.12427
B2,-79.371,-7.386,2,39,7.41801,6.93153,4.74655
B2,23.294,-23.328,2,81,12.481,13.1672,12.0488
B2,-100.913,-31.956,2,65,6.31556,6.76893,4.90198
B2,-88.307,-12.443,1,51,8.39526,7.39504,4.66688
B2,-9.206,-1.602,2,30,10.4709,10.0135,9.41171
B2,-51.405,-16.848,2,62,10.9995,11.6376,9.83954
B2,-69.961,-6.983,2,31,7.80368,6.86117,4.86315
B2,-95.060,-24.889,2,72,5.73337,4.90781,3.8619
B2,-62.297,-11.877,2,75,10.6772,9.91512,9.49216
B2,-50.296,-21.195,1,28,8.85897,7.83661,7.21835
B2,-20.646,106.475,2,137,11.2194,11.2362,9.52015
B2,-17.176,-4.495,1,59,11.5598,10.7202,10.553
B2,-102.967,-37.297,2,33,3.61597,3.35461,2.72565
B2,-85.587,-12.247,1,74,12.1694,13.3835,12.3878
B2,-82.224,-10.624,2,63,7.07015,6.24045,3.84016
B2,-3.469,97.768,2,67,13.3975,12.7835,12.0075
B2,-81.463,-34.105,1,52,7.39018,7.06321,5.60005
B2,-102.127,-28.193,2,36,8.655,7.6361,6.77811
B2,19.375,-11.499,1,76,6.9703,7.31218,6.19189
B2,-44.358,5.618,2,43,11.5094,11.1111,10.059
B2,-70.753,-21.233,2,54,7.14233,6.61812,4.59656
B2,-94.168,-27.941,1,61,6.09619,6.1483,4.90944
B2,49.373,-13.306,2,64,7.36506,7.23896,4.57432
B2,-74.572,45.105,2,95,11.1452,10.3463,9.62824
B2,-85.893,58.108,2,46,5.91118,5.09342,3.1997
B2,-52.203,-8.677,2,58,11.2519,12.4334,11.6338
B2,-38.855,-1.474,2,42,10.2974,9.50323,8.97471
B2,-53.899,-16.960,2,50,5.16417,4.27975,3.58922
B2,28.504,-7.090,2,80,10.6733,11.0397,9.92237
B2,-108.753,-13.846,2,13,4.38129,4.18914,3.23519
B2,-38.633,-2.501,2,44,10.9159,11.2153,11.2618
B2,-76.490,23.183,2,39,11.7888,13.1066,13.0165
B2,-98.477,-23.253,2,68,6.44382,6.78076,4.80334
B2,-57.621,-8.292,1,43,14.2418,13.963,13.6079
B2,-33.675,4.718,2,43,12.6265,12.5675,12.6605
B2,-4.288,68.432,2,62,11.9992,10.9602,10.7294
B2,-17.807,-9.365,2,68,11.4961,11.3912,9.33038
B2,-63.537,-16.451,1,23,8.39328,7.38825,4.27701
B2,-14.715,2.398,2,155,10.0347,11.6327,10.7004
B2,-73.823,-3.332,2,70,11.5504,11.1803,10.2857
B2,-110.299,-20.079,2,32,4.25501,3.92675,2.71891
B2,-87.038,-16.846,2,43,9.10222,8.61471,7.78312
B2,-85.553,31.057,2,62,5.51102,4.80042,3.62737
B2,-36.886,-8.980,1,27,6.92077,6.41234,6.08458
B2,-98.314,-30.831,2,29,8.3157,8.38088,6.4651
B2,-68.362,55.560,2,46,11.8232,12.1402,11.5639
B2,-37.706,10.311,2,88,10.346,9.7329,8.8361
B2,-94.696,-13.258,1,34,6.48431,6.8627,5.84589
B2,-33.957,-4.092,2,39,11.4013,9.80357,9.21249
B2,6.416,7.704,1,37,7.29439,6.86194,4.86823
B2,-65.816,7.280,2,44,12.7325,13.3439,11.7795
B2,-25.340,2.113,2,111,9.63902,9.15398,9.33552
B2,-58.613,64.461,2,25,12.6692,12.0791,11.6344
B2,-62.842,5.973,2,32,10.594,11.6939,11.2562
B2,-64.257,-6.069,2,32,6.44932,4.66966,3.92017
B2,-110.090,-28.960,1,80,5.22211,4.67968,3.37697
B2,-89.337,-3.929,1,16,9.04794,8.86834,7.87927
B2,-95.735,-11.853,2,25,5.76723,5.38626,3.97569
B2,-34.320,3.432,2,48,4.97803,3.16258,2.7396
B2,-115.679,31.286,2,59,6.84453,5.10403,3.71655
B2,-72.927,-7.393,1,34,10.4039,10.38,9.47685
B2,-45.602,121.900,2,42,10.6465,9.08893,8.30322
B2,-24.510,-31.466,2,78,8.54874,7.99192,6.9688
B2,-88.694,-33.327,2,32,5.03877,3.97952,3.3035
B2,-17.569,7.175,1,49,8.7991,7.86255,7.89327
B2,-67.969,9.355,2,33,11.5376,11.4746,11.2204
B2,-40.355,-15.180,1,116,13.5144,13.6321,13.3305
B2,-52.824,6.760,1,59,10.9894,12.039,10.8641
B2,-28.685,-2.331,2,46,7.75142,6.51373,4.75701
B2,-29.568,41.329,1,51,11.7355,10.8894,10.3265
B2,-14.936,105.774,1,70,11.6303,10.6519,7.518
B2,-107.492,-31.340,2,49,6.14092,5.74573,4.0971
B2,-76.668,7.950,1,74,6.64459,6.61745,4.94243
B2,13.244,7.281,2,34,6.85572,7.38853,5.14284
B2,-29.366,-16.693,2,31,9.4328,9.07098,8.25584
B2,-73.753,-26.325,1,50,5.38663,5.87515,4.1513
B2,-85.028,1.504,2,55,8.49614,8.31466,6.96459
B2,-93.301,-21.984,2,39,4.42215,5.34258,3.96007
B2,-5.433,-28.405,2,54,5.71896,5.30933,4.40582
B2,-43.115,9.099,2,27,12.8945,12.447,10.8834
B2,-76.857,-1.840,2,63,7.19428,6.82903,4.99741
B2,-89.825,-25.220,2,20,5.9399,4.69877,3.88922
B2,8.718,13.604,2,37,8.73202,8.27585,6.79532
B2,-15.508,19.915,2,43,8.12896,7.7158,6.68248
B2,-14.143,-31.977,1,36,10.0625,8.32957,7.51583
B2,-61.771,-16.666,1,43,5.7415,5.47345,4.20468
B2,-116.320,79.918,1,29,5.52744,5.17846,4.03165
B2,-85.647,-20.410,2,40,6.63543,6.21253,4.37138
B2,-59.237,-31.020,2,54,7.06164,7.54669,5.58819
B2,-59.091,-7.804,2,106,12.1091,12.3411,10.8483
B2,-71.681,-16.368,2,83,7.72664,7.57478,5.14107
B2,-8.568,9.413,1,55,13.0245,12.9013,13.0753
B2,-1.445,-4.965,2,37,11.057,9.85894,9.02062
B2,-90.612,22.223,2,37,7.23342,7.11412,5.19047
B2,-86.309,-33.196,2,34,6.57687,5.84175,4.65653
B2,-68.293,-5.492,2,51,11.4594,12.326,12.1936
B2,-100.395,-35.809,2,62,6.40934,5.91462,5.0296
B2,88.138,245.123,1,40,13.4118,12.0253,11.1187
B2,-92.140,-20.286,2,19,7.4992,6.21637,4.90962
B2,-77.457,-27.205,2,40,4.79529,4.28049,3.07303
B2,-15.070,-14.469,1,30,10.1868,8.58654,6.2403
B2,-98.858,-17.139,2,42,8.07132,7.87171,6.83149
B2,-58.222,-3.632,2,81,9.70698,9.76199,8.95915
B2,-65.679,8.757,2,34,12.1329,13.3901,13.1136
B2,-74.289,-22.811,2,35,11.4756,10.324,7.4915
B2,-104.268,-23.184,2,30,4.75434,4.57523,3.33197
B2,-105.870,27.927,2,34,6.99706,6.51132,4.11305
B2,-91.674,-5.357,2,62,9.87773,9.41624,8.76036
B2,-17.087,226.468,1,85,11.3992,10.9101,10.7225
B2,-41.991,4.399,1,38,11.6579,12.2055,12.4924
B2,-96.769,-15.544,2,28,7.65154,7.81512,6.53252
B2,-75.097,49.859,2,80,10.3268,10.3875,9.58023
B2,-85.272,-22.065,1,51,6.56615,4.89593,3.94272
B2,-17.006,-10.437,2,28,6.52833,6.04483,4.25039
B2,-34.472,-22.228,2,59,9.91322,9.4114,9.19094
B2,-105.275,-26.355,2,26,5.04143,4.20043,3.20661
B2,-37.895,-19.009,2,37,7.50744,6.3475,4.7668
B2,-2.638,3.128,2,42,8.44853,7.40165,4.43031
B2,-70.791,6.951,2,44,6.3631,6.74975,4.52712
B2,-102.410,6.119,2,52,6.54737,6.45828,4.9195
B2,5.519,78.355,2,36,11.6134,11.8496,10.246
B2,-59.169,-3.624,2,39,9.51698,8.11189,6.44178
B2,-65.676,-17.602,2,84,6.55289,4.43584,3.66053
B2,-33.172,-6.157,2,48,6.40997,5.67047,3.83215
B2,-21.702,-17.713,2,40,7.90614,5.03873,3.45418
B2,-83.233,-14.023,1,25,7.38036,7.4019,4.91562
B2,-118.196,-17.970,2,68,4.96055,4.5007,3.68083
B2,-107.101,-23.327,1,46,7.59581,7.67686,5.54156
B2,-39.207,-12.740,2,70,9.74824,9.45808,8.80196
B2,-18.739,-17.316,2,96,10.5352,10.9728,10.1138
B2,-31.014,-12.678,2,45,8.02458,6.93824,5.37951
B2,-58.771,0.469,2,69,11.5981,11.2243,11.3363
B2,40.036,-6.998,2,58,11.5727,11.2475,11.1053
B2,-42.477,-2.995,1,54,10.2233,9.40403,8.79251
B2,-111.025,-31.826,2,36,6.56369,6.54141,4.2391
B2,-103.548,-17.418,2,72,5.73283,5.03139,2.99076
B2,-91.025,4.352,1,64,6.80049,6.72015,5.71816
B2,33.027,-4.637,2,52,14.2377,14.1972,14.7447
B2,-78.569,11.111,2,59,7.57939,6.89138,5.55941
B2,-57.551,-13.368,2,69,12.311,13.0282,12.53
B2,-84.080,-3.509,2,16,8.19772,7.29932,6.25808
B2,-118.989,-35.528,2,33,5.48789,5.57848,4.18187
B2,-29.607,22.529,2,19,13.4495,13.6319,13.3866
B2,-71.554,132.478,2,52,9.18128,8.17725,7.2149
B2,-81.751,38.581,1,23,7.32582,7.71552,4.96814
B2,-22.116,-10.880,2,41,7.64544,5.04705,3.31897
B2,-66.397,-0.282,2,45,13.4783,13.4666,13.0554
B2,-66.128,-9.947,2,36,8.10018,7.937,5.78946
B2,-67.804,-1.032,2,28,12.0953,11.6614,11.7783
B2,-43.899,26.954,2,64,11.2626,11.3459,10.7142
B2,-90.364,-13.257,2,69,6.50418,6.42082,4.45958
B2,-5.533,-0.908,2,66,6.43495,6.32917,5.48821
B2,-80.174,-35.683,2,25,4.62215,3.35435,2.61346
B2,-29.256,40.398,1,57,10.9385,10.4956,8.67691
B2,-39.107,13.272,2,41,11.236,11.7089,10.0523
B2,-110.740,-20.594,2,26,6.03665,5.42299,4.60881
B2,-82.439,-27.480,1,25,8.40503,7.9005,5.60899
B2,-54.391,-14.322,1,50,6.70897,6.26668,4.90269
B2,-101.600,-20.185,2,59,6.80188,6.18598,4.89579
B2,-10.356,172.830,2,41,6.51703,6.26624,3.4835
B2,-83.396,4.625,2,32,7.99315,6.93432,6.51012
B2,-47.549,13.426,2,28,11.7517,11.2738,11.0985
B2,-1.708,18.661,2,82,9.20532,7.81585,6.81053
B2,-16.251,8.175,1,62,13.8444,13.564,12.3821
B2,-119.507,-25.040,2,56,3.98623,4.25101,3.04902
B2,-29.558,-2.755,1,90,11.3216,11.2213,10.6672
B2,-88.000,-23.413,2,79,5.85178,6.24527,4.85504
B2,-41.162,-5.121,2,27,8.56984,8.02993,6.44212
B2,-47.637,6.400,2,53,10.7802,10.6893,10.1983
B2,-32.670,-25.001,1,71,6.18871,5.87873,4.7076
B2,-26.327,-15.538,1,50,11.5692,9.54018,7.21973
B2,-28.410,1.745,2,83,12.431,13.0341,12.6746
B2,-32.921,5.559,2,20,10.8934,9.88027,8.8795
B2,-45.709,-18.271,2,26,9.01329,7.07293,4.70612
B2,-116.994,-9.359,1,28,7.15336,6.96167,4.5204
B2,-58.472,-16.276,2,52,7.53136,7.23305,5.21548
B2,-62.039,-2.076,1,61,9.6542,9.56354,9.03174
B2,-91.614,-15.802,1,48,7.06902,6.99191,6.70984
B2,-89.682,-27.248,2,72,6.8604,6.65508,4.99648
B2,-34.574,11.255,2,53,11.4599,10.3774,9.66303
B2,-70.124,-9.449,2,17,8.34957,7.95512,5.42506
B2,-65.205,-35.318,2,58,3.7206,3.8614,2.90503
B2,-101.215,-28.507,2,59,11.1235,11.5294,10.8484
B2,-38.628,-19.081,2,51,8.72059,5.95585,5.41188
B2,-68.434,-6.038,2,62,7.18453,6.54102,6.32049
B2,-25.666,-6.304,2,52,6.5989,6.65867,5.58281
B2,-49.523,8.443,2,46,5.59579,4.75794,3.10554
B2,-27.110,3.818,2,30,9.72017,8.23569,7.3716
B2,-81.102,-23.261,2,44,5.24852,5.01035,4.39025
B2,2.238,-14.281,2,46,9.22074,8.49523,5.52751
B2,44.325,16.370,1,174,13.4323,11.3085,11.006
B2,-112.889,-33.972,2,90,4.45879,5.0986,3.20639
B2,-60.148,-32.438,1,59,4.04095,3.74441,2.46158
B2,-99.455,-18.986,2,57,6.0166,5.60976,3.20336
B2,-100.793,-18.055,2,75,5.64802,4.95339,3.54618
B2,13.363,41.415,1,108,13.0758,13.9138,13.4953
B2,-63.014,-10.190,2,45,7.79201,7.35732,6.31657
B2,-73.448,-29.483,2,38,5.06326,4.3967,3.19777
B2,-67.414,19.187,2,46,6.974,4.59328,3.68587
B2,-38.850,-18.863,2,63,8.69024,8.60519,6.17997
B2,-64.055,-3.835,2,45,6.61334,6.53091,3.94617
B2,-31.388,10.404,1,52,9.38711,9.53636,9.0621
B2,1.041,230.705,2,34,7.4305,7.72653,6.59969
B2,-82.371,-18.408,2,44,7.61169,6.21412,3.89295
B2,-7.166,35.972,1,53,11.2727,10.4954,8.48834
B2,-97.414,-17.295,2,39,6.93784,5.87035,4.41832
B2,-18.105,-25.795,1,55,8.10682,7.12672,6.84349
B2,0.300,-6.620,1,20,6.90798,6.3963,5.3949
B2,-34.396,-30.933,1,24,6.1859,4.41914,3.42289
B2,-46.978,-5.143,1,53,11.9558,12.0251,11.6412
B2,-22.446,-1.791,2,30,6.15621,4.40413,3.62371
B2,24.448,3.329,2,44,10.8913,9.60693,9.24572
B2,-15.613,-10.499,1,74,13.9085,11.5287,6.84152
B2,-96.785,-18.126,2,71,6.66869,6.62199,4.27813
B2,-47.222,-20.048,2,34,7.24814,7.05481,5.11189
B2,-25.990,3.797,1,50,9.87203,11.1605,11.3546
B2,-70.810,-2.837,2,40,12.3089,13.502,13.5114
B2,-53.243,-6.510,2,43,10.7398,10.5176,10.0317
B2,-56.721,23.401,2,69,12.3953,11.9816,11.8278
B2,27.613,27.810,2,51,11.732,9.58805,6.63387
B2,-116.995,-18.288,2,18,4.15644,3.63694,2.49052
B2,-109.909,-23.682,2,59,7.4141,5.52219,3.73448
B2,-89.127,-17.917,2,40,6.1466,5.6196,4.13489
B2,-53.250,-30.264,2,34,5.48595,3.6957,2.30254
B2,-107.243,-24.498,2,83,5.47448,5.61646,4.1136
B2,-19.215,-23.927,1,88,10.375,9.87641,7.08691
B2,-86.335,-34.601,2,54,6.38865,6.40503,4.14909
B2,-51.873,41.372,1,41,9.63304,9.25203,9.13064
B2,-106.796,-18.891,2,27,7.86215,7.9916,5.78303
B2,-55.255,35.576,2,38,11.6527,11.4315,11.0899
B2,-46.126,-4.761,2,82,10.1844,9.70855,9.82461
B2,-76.484,-17.594,2,24,6.06229,6.54834,5.09503
B2,-61.964,-9.126,2,112,12.228,11.8127,9.95107
B2,-106.443,-14.347,2,54,5.98464,5.81061,4.63857
B2,-104.315,-32.989,1,35,5.87224,4.93115,3.59572
B2,-104.682,-40.131,2,54,6.41088,5.70019,3.75888
B2,-58.314,57.914,2,96,13.4565,13.6123,13.8798
B2,-100.002,-3.516,2,38,5.15343,4.29656,2.80057
B2,19.153,-30.742,1,54,12.9594,12.8699,12.7698
B2,-116.053,-18.872,2,56,4.59449,4.74877,3.65219
B2,-99.760,-24.370,2,41,6.42329,6.58143,5.10473
B2,-91.476,-31.733,2,52,3.16061,3.67966,2.76807
B2,-39.645,18.095,2,103,10.5999,10.2013,9.67132
B2,-100.665,-1.400,2,30,6.91998,6.50267,5.33513
B2,18.399,-13.114,2,37,11.4695,10.6328,11.263
B2,-0.988,-20.329,2,136,13.5807,10.2511,8.68945
B2,-89.239,-16.314,2,39,6.61065,6.90134,3.72961
B2,-51.484,2.427,2,32,10.6412,10.5945,10.2301
B2,-106.505,88.842,2,32,7.48515,7.23325,5.41281
B2,-29.375,-15.534,2,45,8.53859,8.10227,6.47339
B2,-34.508,-29.724,2,50,11.1262,9.00941,8.1684
B2,-61.349,25.587,2,66,7.83535,7.68358,5.78786
B2,9.465,61.844,2,49,10.262,9.43282,8.9641
B2,-28.255,-4.733,2,63,8.21772,6.98615,5.08519
B2,-59.463,-14.162,2,55,13.2758,13.5163,11.4386
B2,-83.442,-7.664,1,27,4.75966,4.14857,2.33152
B2,-85.574,-17.250,2,26,5.93069,5.28879,4.06394
B2,-46.998,-12.333,2,64,8.88176,6.37254,4.92161
B2,-18.710,1.442,2,41,13.4321,13.2015,13.1351
B2,-5.774,38.286,2,53,10.6291,9.5457,9.26386
B2,-48.796,5.314,2,108,12.7404,12.5511,11.9014
B2,-64.137,-11.426,1,19,10.4601,9.59944,8.9959
B2,-24.573,-5.185,2,28,12.0481,11.057,9.74696
B2,22.356,189.536,2,41,13.5819,11.5623,10.794
B2,-79.276,58.112,1,45,8.89509,8.14476,6.33677
B2,11.792,-17.595,1,73,6.82762,7.07887,4.68706
B2,-102.341,-8.939,1,81,5.58821,5.52645,4.4931
B2,-104.105,-1.155,2,48,7.19408,6.95782,5.15195
B2,-19.016,115.411,1,32,10.2493,10.0571,9.86098
B2,-40.166,-13.821,2,31,8.30558,7.64071,6.29462
B2,-56.459,-8.475,1,44,5.27324,3.74442,2.97702
B2,52.485,-8.902,1,60,11.9938,11.1558,9.63397
B2,-20.130,7.443,2,53,7.82606,7.14818,5.9316
B2,-85.480,-26.924,2,51,5.89893,6.21444,4.10988
B2,-21.567,-24.781,2,47,8.50633,6.8084,6.15619
B2,-87.826,-11.409,2,48,6.15108,5.79991,3.91998
B2,66.303,33.998,1,50,9.84348,9.39757,7.66917
B2,8.862,54.074,2,52,10.7086,9.31987,8.84554
B2,57.617,15.454,2,71,12.1241,11.0882,11.1785
B2,-63.526,-21.457,2,39,7.41291,6.54568,6.05642
B2,-97.905,-16.583,2,44,7.2478,6.91472,4.37692
B2,-51.941,-0.948,2,161,10.5757,10.0822,9.4556
B2,-22.700,18.165,1,66,9.96675,9.06694,9.10969
B2,-106.446,-16.829,2,37,4.91379,6.58205,4.90843
B2,-112.432,-23.993,2,52,5.11296,5.40102,4.23597
B2,59.247,76.089,2,44,12.7902,11.5654,11.6963
B2,-26.102,-7.510,2,50,10.2726,9.55413,8.91774
B2,-57.297,-13.892,2,29,8.69153,8.48245,6.78304
B2,-87.541,76.894,2,37,13.6328,13.1266,13.0039
B2,-74.400,-13.129,2,88,10.5482,10.3884,10.8956
B2,-5.257,-29.936,2,60,11.0128,9.69927,8.13274
B2,4.593,-11.154,2,46,7.67247,7.7195,4.82317
B2,-17.029,2.280,2,56,11.7804,10.7185,9.54996
B2,-41.163,31.265,2,59,10.0563,9.78143,8.65009
B2,-64.959,-1.266,2,40,7.98533,8.04645,7.79539
B2,-31.670,182.684,2,65,14.572,14.4314,14.2123
B2,-45.146,85.407,2,76,13.1359,13.6117,12.4444
B2,-82.569,-35.446,2,31,6.30785,6.38799,5.17722
B2,13.872,-4.310,2,47,7.09468,6.56922,5.46424
B2,-78.271,-22.853,2,30,5.57491,5.32139,4.21735
B2,-33.514,22.407,1,121,13.3959,13.694,13.2163
B2,-43.775,-3.151,2,124,9.60754,9.16769,8.57186
B2,55.120,45.297,2,65,7.42849,5.76995,4.4035
B2,-77.299,-13.060,2,24,6.39159,6.20145,4.33343
B2,-5.294,74.684,1,31,5.65646,6.16098,4.43075
B2,-24.798,116.420,2,62,10.6087,9.97761,8.6984
B2,-123.367,17.018,2,30,3.65879,3.58871,2.72816
B2,-39.670,6.874,2,95,13.6289,13.5646,10.0174
B2,-9.468,33.343,2,47,7.73691,6.12096,5.48997
B2,-39.804,10.972,2,52,9.06382,8.15645,7.37159
B2,-109.817,-4.211,1,35,5.5093,6.03166,4.44462
B2,-64.923,-25.176,2,42,12.7257,13.0011,12.5193
B2,-77.747,3.853,2,56,8.31891,8.7188,7.70554
B2,-42.966,14.602,1,53,5.832,6.04577,5.36387
B2,-62.149,18.076,2,43,10.1682,10.0487,9.76452
B2,-24.765,-2.770,2,39,10.3427,10.1272,8.59526
B2,-69.830,-19.619,1,29,10.1626,9.59702,7.70668
B2,-117.033,-23.434,2,80,5.6881,5.7798,3.58554
B2,-63.088,15.516,2,46,6.78008,6.11237,4.63557
B2,-112.871,-20.485,2,23,4.38347,4.3214,3.21761
B2,-113.571,-21.092,2,23,6.97947,6.64935,4.57414
B2,-82.606,2.772,2,36,6.2216,5.92833,4.32297
B2,-104.626,-17.930,2,43,6.74056,6.47532,4.18171
B2,-53.011,-14.107,2,56,11.7829,11.2827,11.5258
B2,-19.360,36.403,2,47,9.9535,9.71525,7.54925
B2,-1.309,31.463,2,90,13.4929,11.6642,11.0278
B2,-27.139,-25.003,2,70,12.562,10.9072,9.41963
B2,-42.125,26.134,2,38,13.1928,13.4462,13.0806
B2,-85.921,-20.209,2,17,7.72443,7.27596,5.81975
B2,-113.832,-8.631,1,41,4.72528,4.9579,3.72157
B2,14.330,139.540,2,54,8.75601,8.59439,5.94234
B2,-68.845,-22.306,2,23,7.33447,5.87686,4.06701
B2,16.022,37.873,2,102,12.2589,11.8128,10.8394
B2,-30.193,171.161,2,54,6.73608,5.88628,5.25822
B2,-113.280,-13.166,2,27,6.50423,6.8354,6.32985
B2,-35.525,4.470,2,65,11.5942,11.6012,10.6769
B2,-6.243,41.505,2,26,11.6183,11.5973,11.4378
B2,-42.578,241.824,2,90,9.326,8.50808,7.53613
B2,-61.185,-18.134,2,62,4.79035,3.71054,2.63555
B2,-35.336,2.786,2,30,9.4821,9.00221,8.7229
B2,6.349,0.410,2,89,14.2918,13.8593,13.3306
B2,-2.214,2.458,2,41,12.369,11.4174,11.919
B2,-79.864,1.046,1,63,5.62729,5.01526,4.283
B2,-93.939,-7.209,2,54,6.17825,5.87733,4.43122
B2,-83.537,-13.828,2,22,7.87308,7.17258,5.36116
B2,-92.685,30.511,2,74,6.80187,6.14148,4.40841
B2,-130.030,-29.079,2,18,5.09463,4.52643,3.38511
B2,-60.956,-6.707,2,23,12.2836,12.2484,10.0545
B2,-38.075,15.121,2,45,9.34442,9.19491,7.19837
B2,-48.234,-12.676,2,49,12.0963,13.8241,13.7871
B2,-51.787,-17.078,2,40,8.20528,7.67462,5.13322
B2,-24.099,101.378,2,70,7.39611,5.72732,5.20634
B2,-31.204,-7.850,2,32,8.20175,6.99262,5.52751
B2,-20.224,277.360,2,58,9.59487,8.62606,5.85621
B2,-40.188,317.389,2,43,11.6756,12.1064,10.7107
B2,25.141,57.822,2,39,11.6325,11.0002,10.6978
B2,-67.149,-25.861,2,45,5.80418,3.90578,2.6772
B2,-24.432,-13.336,2,54,9.29963,8.39879,5.93626
B2,-63.586,-10.526,2,34,7.60918,7.23998,4.0855
B2,-78.116,4.480,1,60,4.73297,4.556,4.26112
B2,-16.624,29.869,1,99,11.5704,11.1825,11.6689
B2,-97.596,-32.788,2,56,6.72592,6.04407,4.43773
B2,-6.722,18.293,2,36,11.0519,10.1172,9.77682
B2,-52.373,-19.262,2,37,6.9118,5.23329,3.97241
B2,-10.794,-11.190,2,46,11.6635,13.9727,13.9157
B2,-99.242,-16.966,2,40,4.68825,4.44303,3.39963
B2,-95.724,-22.345,2,46,7.49932,7.35269,4.85288
B2,-125.882,-29.442,1,25,4.79101,4.09705,3.3117
B2,-60.159,-2.229,1,124,9.64419,9.23623,8.90741
B2,-35.914,5.752,2,90,10.6321,11.3221,11.2462
B2,-104.711,-36.555,2,44,3.82431,3.52626,2.86373
B2,-105.128,4.947,2,37,4.74313,4.52893,2.9862
B2,46.719,90.397,2,53,7.60154,7.76504,5.07436
B2,-102.461,52.027,2,79,7.57188,6.99139,6.10842
B2,14.832,51.811,2,32,12.3894,14.1606,12.1014
B2,-54.339,112.245,2,45,6.64315,5.87771,3.85378
B2,-107.003,-27.848,2,62,4.56045,4.37927,2.84532
B2,-89.736,-4.163,2,17,8.14023,7.93375,7.3941
B2,25.912,141.792,2,52,12.3449,11.9473,11.0309
B2,-86.324,44.867,2,40,4.88258,3.69749,2.89178
B2,-111.009,-43.619,1,44,4.53694,4.04021,3.02606
B2,-73.547,-9.707,2,67,12.0285,11.8134,11.1804
B2,-64.529,-15.249,1,45,10.1019,9.93447,8.85072
B2,23.011,-6.412,2,65,12.2567,9.99249,8.54418
B2,-42.829,-30.261,1,32,9.83762,8.42742,7.10204
B2,-97.137,-19.046,2,51,9.36283,7.83566,6.27861
B2,10.675,35.205,2,54,12.2217,10.7303,9.92869
B2,-93.380,-20.681,1,27,7.54221,7.52372,6.19422
B2,-82.448,-15.630,2,35,6.80528,6.21171,5.07209
B2,19.688,68.319,2,76,9.60697,8.13352,7.28282
B2,-69.441,-11.756,2,45,5.70046,5.85397,4.33132
B2,-89.120,-23.260,1,23,6.52851,6.2132,3.85438
B2,14.073,43.101,2,30,9.70692,8.91899,8.43533
B2,-84.803,-24.393,2,60,6.49415,6.57172,5.48207
B2,-11.944,34.361,2,21,11.2485,11.4737,11.427
B2,-90.585,-8.926,2,29,6.73778,5.72918,5.56876
