Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-162.513,-50.939,1,0.853055,15,2.21163,1.06159,1.08892
A1,-145.871,-48.965,1,0.855737,17,1.5337,0.731234,0.72071
A1,-152.173,-0.855,1,0.865272,18,1.89026,0.838356,0.851474
A1,-154.803,-48.930,1,0.832906,16,1.18369,0.839599,0.817693
A1,-130.863,-37.527,1,0.842881,10,3.55391,2.01902,2.10044
A1,-149.883,-37.486,1,0.874109,9,2.43866,1.86307,1.87771
A1,-160.904,-47.282,1,0.840847,19,2.51486,1.35021,1.2507
A1,-162.400,-40.291,1,0.826035,9,1.51602,1.1436,1.09914
A1,-154.218,-49.941,1,0.866201,12,3.69524,1.31627,1.31368
A1,-156.673,-38.342,1,0.840221,12,2.98844,2.48517,2.51066
A1,-154.988,-38.490,1,0.854922,8,3.06842,2.39248,2.42134
A1,-149.399,45.551,1,0.855829,17,2.49699,0.974142,0.943062
A1,-137.031,-35.899,1,0.854433,9,1.95385,1.52081,1.47849
A1,-151.650,-34.330,1,0.862725,5,3.17163,2.45943,2.55917
A1,-148.660,-49.306,1,0.865056,13,2.21186,1.01761,0.99923
A1,-142.333,-33.369,1,0.836751,15,4.52695,4.07013,4.14626
A1,-155.825,-48.830,1,0.85296,14,2.51485,1.0558,1.08405
A1,-159.797,-39.716,1,0.850756,8,1.98665,1.09135,1.11578
A1,-154.721,-38.146,1,0.899048,14,1.71843,1.64996,1.34222
A1,-153.519,-45.362,1,0.86103,11,1.22931,0.862334,0.740923
A1,-160.668,-44.659,1,0.838557,9,1.4111,0.814043,0.822195
A1,-151.208,-40.661,1,0.877349,7,1.49997,0.99722,0.94091
A1,-149.981,-34.637,1,0.865456,12,1.36375,1.14409,1.12352
A1,-156.325,-39.977,1,0.834134,16,2.23165,1.61903,1.45224
A1,-148.710,3.927,1,0.830434,17,2.55194,2.14945,2.10345
A1,-150.581,-46.491,1,0.85302,18,1.75321,1.14498,1.15355
A1,-151.523,-49.858,1,0.853212,16,1.33024,0.989639,0.946689
A1,-157.451,-47.234,1,0.89278,21,3.03923,1.06884,1.09672
A1,-154.299,-47.474,0,0.828165,18,3.39104,1.13738,1.15246
A1,-154.357,-47.017,1,0.857471,23,1.7045,1.2137,1.18381
A1,-164.120,-42.621,1,0.847476,10,1.83941,1.31247,1.3294
A1,-159.896,-40.601,1,0.825482,6,2.01645,1.70543,1.61555
A1,-153.021,-48.480,1,0.862577,17,1.40654,1.41481,1.27628
A1,-155.093,-47.023,1,0.862887,14,1.72113,1.0375,1.07133
A1,-147.573,-32.849,1,0.829022,9,2.5426,1.97658,1.87569
A1,-152.850,-37.086,1,0.83491,7,2.65651,2.27985,1.99434
A1,-157.118,-47.540,0,0.857199,12,2.44946,1.03327,1.04543
A1,-150.022,-47.906,0,0.842852,14,1.36218,1.00479,0.993484
A1,-160.257,-49.113,1,0.856058,15,2.8317,1.20758,1.23987
A1,-154.302,-42.369,1,0.844673,12,1.97157,0.924373,0.855467
A1,-149.479,-23.152,1,0.849681,11,2.40519,1.54964,1.57714
A1,-139.735,-36.642,1,0.848098,12,3.23706,2.34323,2.23994
A1,-157.178,-47.883,1,0.841689,24,2.85162,1.09883,1.0801
A1,-158.549,-48.059,1,0.847031,11,2.36976,0.933252,0.931906
A1,-155.583,-30.665,1,0.859714,17,2.59256,1.83578,1.90672
A1,-133.536,-32.674,1,0.887775,10,3.13331,2.38393,2.4573
A1,-149.087,-42.954,0,0.831717,22,2.30447,1.48864,1.35746
A1,-149.578,-9.694,1,0.84729,18,1.91425,1.34938,1.15471
A1,-156.941,-43.976,1,0.856523,21,2.115,1.08022,1.07739
A1,-125.488,-42.169,1,0.828663,13,3.69028,1.6887,1.60347
A1,-148.204,-23.897,1,0.858522,35,1.93537,1.30503,1.00512
A1,-149.650,-48.814,1,0.864776,13,1.89874,1.25799,1.24937
A1,-163.380,-48.784,1,0.862731,10,2.45871,1.14135,1.15092
A1,-139.802,-41.026,0,0.855461,30,2.50114,1.38361,1.3584
A1,-148.234,-40.904,1,0.869783,12,2.19316,1.10646,1.09329
A1,-159.293,-45.590,1,0.844247,9,1.91868,1.27444,1.22913
A1,-152.320,-38.472,1,0.850415,11,2.00714,1.66998,1.53042
A1,-156.585,-36.437,0,0.857202,10,1.97753,1.59744,1.41287
A1,-163.344,-32.995,1,0.856223,15,3.05108,1.80097,1.71656
A1,-131.805,-23.743,1,0.809587,15,4.4294,4.11344,4.17574
A1,-156.052,-39.957,1,0.879613,11,2.34857,1.59218,1.55815
A1,-154.869,-47.015,1,0.849869,19,2.32999,1.71961,1.63137
A1,-124.615,-31.553,1,0.844329,14,5.50502,4.89288,5.01186
A1,-156.582,-34.263,1,0.835376,8,2.55809,1.49118,1.51063
