Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-172.211,-64.320,2,2.75312,140,20.3529,18.6472,13.0013
A1,-188.477,-28.406,3,2.65257,240,17.5393,17.2521,12.4993
A1,-263.303,-56.178,3,2.81071,174,15.6377,15.6906,13.1177
A1,-224.070,-52.490,2,2.74334,155,19.2028,18.1119,13.7532
A1,-205.496,-61.579,3,2.73281,198,10.7481,10.0014,8.70704
A1,-96.229,-22.071,3,2.72311,130,15.0658,14.8263,10.1979
A1,-215.731,-68.720,2,2.71539,164,17.9939,16.1514,13.1443
A1,-244.273,-82.385,2,2.66643,116,17.9479,14.4469,12.0531
A1,-193.478,-85.157,2,2.74359,141,22.1266,21.8684,16.6859
A1,-85.769,-69.891,3,2.78309,207,12.12,13.7136,10.7994
A1,-250.717,-55.943,3,2.64479,199,14.5305,13.7301,9.8879
A1,-219.830,-55.883,3,2.79384,308,16.164,19.3605,14.3267
A1,-246.327,-64.378,3,2.77441,142,19.3044,16.6442,11.9139
A1,-201.615,-36.272,2,2.37957,163,19.2282,15.7017,10.8207
A1,-190.892,-73.928,3,2.78993,142,20.8517,20.2786,14.4089
A1,-221.492,-49.952,2,2.61472,317,23.1659,25.0451,18.753
A1,-242.622,-75.001,3,2.6203,275,21.2643,19.7024,12.6663
A1,-236.431,-61.740,3,2.68343,258,23.8367,24.3589,16.1918
A1,-186.410,-61.898,3,2.74161,126,25.6016,23.7983,17.5606
A1,-268.460,-69.773,2,2.79499,198,25.4542,25.3717,19.4541
A1,-193.028,-1.466,3,2.85679,223,18.7957,19.1874,13.4436
A1,-270.931,-73.323,3,2.66393,206,21.693,19.9364,15.9541
A1,-134.166,-46.191,3,2.82036,246,21.0399,20.4443,14.6615
A1,-221.931,-79.855,3,2.80695,183,17.2142,13.8222,11.9837
A1,-228.674,-31.227,3,2.75898,177,20.7014,20.5063,14.7629
A1,-223.679,-80.467,3,2.77937,211,18.4609,15.1574,12.9419
A1,-230.616,-48.283,3,2.71616,213,23.0882,18.2388,14.6091
A1,-260.406,-73.690,2,2.67816,89,23.4985,22.3607,16.2019
A1,-240.605,-77.517,2,2.89822,103,20.0685,21.9414,15.8185
A1,-216.391,-47.443,3,2.75053,205,19.9983,18.204,14.8804
A1,-216.580,-75.211,3,2.73434,119,22.6546,23.6829,16.6122
A1,-228.866,-57.029,3,2.97578,191,20.3542,16.7264,12.9274
A1,-174.091,-27.980,2,2.64278,74,19.5889,19.231,14.128
A1,-231.031,-67.018,2,2.70491,204,17.1929,16.713,14.5579
A1,-197.775,-0.405,3,2.80741,128,21.5667,21.2075,15.5159
