Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-168.815,-14.361,1,1.18916,36,7.62583,7.2693,7.24994
A1,-211.529,-57.256,1,1.23596,53,8.35079,6.4759,6.1968
A1,-219.382,-26.351,1,1.27432,54,4.93471,5.09021,4.04441
A1,-187.585,-60.680,2,1.21711,47,6.4489,5.09661,3.84471
A1,-225.157,-64.487,1,1.16793,39,8.06804,6.57359,6.60011
A1,-199.626,-65.306,1,1.17224,37,8.43495,7.72059,7.75218
A1,-229.495,-50.070,1,1.20408,35,4.64509,4.50101,4.01329
A1,-164.627,-53.406,1,1.17515,37,8.06762,9.00446,8.80695
A1,-180.168,-42.752,1,1.2145,59,6.16563,5.69571,4.68236
A1,-95.583,-49.827,1,1.23521,58,8.28203,8.4544,8.00222
A1,-159.285,-51.423,1,1.22046,25,7.85227,7.22923,6.80103
A1,-211.340,18.916,1,1.20252,42,5.63326,5.29637,4.92901
A1,-152.438,-70.743,1,1.16212,48,8.34304,6.64931,5.96658
A1,-228.163,-58.308,1,1.22294,37,5.61534,5.19404,4.52293
A1,-193.081,-55.460,2,1.20355,53,8.87503,7.20757,6.15696
A1,-177.171,-61.339,2,1.20623,48,9.65332,8.38864,8.50518
A1,-169.216,-39.183,2,1.19468,45,8.51166,5.6782,4.99197
A1,-179.428,-22.227,1,1.21848,45,5.52853,4.8985,4.41744
A1,-184.572,-55.630,1,1.1932,56,7.33221,6.12733,6.31201
A1,-199.206,-76.090,1,1.22603,41,7.23502,6.00359,5.77618
A1,-183.517,-55.481,1,1.22533,44,5.9826,6.08087,5.17623
A1,-168.186,-60.300,1,1.23635,64,5.70478,5.84486,5.56048
A1,-200.113,-67.638,1,1.24679,34,5.57484,5.62296,5.31504
A1,-214.529,-78.250,2,1.19789,56,7.77825,7.42361,6.59739
A1,-117.033,49.936,1,1.17794,31,8.1335,6.75354,5.98125
A1,-174.539,-38.331,1,1.2393,43,7.91761,7.24681,7.40827
A1,-127.952,-53.065,1,1.20631,70,14.2177,9.00449,7.89087
A1,-191.886,-54.197,1,1.24437,42,8.64207,8.55408,8.88231
A1,-141.021,-61.938,1,1.17715,52,9.99938,5.97246,5.36526
A1,-205.367,-49.687,1,1.23189,32,5.46271,4.46663,3.96297
A1,-192.039,-67.716,2,1.2263,45,6.64585,5.88843,4.36729
A1,-202.107,-72.775,1,1.23392,39,5.44,4.63706,4.34947
A1,-181.705,-47.706,2,1.2267,27,10.8237,10.8353,11.3122
A1,-171.119,-69.585,1,1.20299,92,6.85992,5.92685,5.27846
A1,-183.537,-57.825,1,1.23541,23,5.83399,5.77955,5.16033
A1,-153.924,-40.604,1,1.19821,34,7.56623,7.8492,7.49996
A1,-171.361,-61.684,1,1.22026,39,8.50774,5.69856,4.90051
A1,-167.851,-43.170,2,1.17274,35,8.69939,7.85676,7.61249
A1,-196.315,-61.510,2,1.21426,30,5.29349,5.29588,4.94006
A1,-204.948,-57.404,1,1.20406,42,8.5527,8.41478,8.38908
